2229-1984 CustomWeightedEdge{sourceUserId=2229, targeUserId=1984, type=AP, peso=386.0}
2202-2207 CustomWeightedEdge{sourceUserId=2202, targeUserId=2207, type=AA, peso=66.0}
2181-2179 CustomWeightedEdge{sourceUserId=2181, targeUserId=2179, type=AA, peso=113.0}
1940-2217 CustomWeightedEdge{sourceUserId=1940, targeUserId=2217, type=PA, peso=22.0}
2130-1976 CustomWeightedEdge{sourceUserId=2130, targeUserId=1976, type=AP, peso=184.0}
1940-2214 CustomWeightedEdge{sourceUserId=1940, targeUserId=2214, type=PA, peso=12.0}
2200-2263 CustomWeightedEdge{sourceUserId=2200, targeUserId=2263, type=AA, peso=123.0}
2220-2212 CustomWeightedEdge{sourceUserId=2220, targeUserId=2212, type=AA, peso=68.0}
2220-2218 CustomWeightedEdge{sourceUserId=2220, targeUserId=2218, type=AA, peso=21.0}
2146-1981 CustomWeightedEdge{sourceUserId=2146, targeUserId=1981, type=AP, peso=491.0}
2189-2130 CustomWeightedEdge{sourceUserId=2189, targeUserId=2130, type=AA, peso=25.0}
2168-2188 CustomWeightedEdge{sourceUserId=2168, targeUserId=2188, type=AA, peso=44.0}
2168-2189 CustomWeightedEdge{sourceUserId=2168, targeUserId=2189, type=AA, peso=38.0}
2272-1940 CustomWeightedEdge{sourceUserId=2272, targeUserId=1940, type=AP, peso=506.0}
2164-2178 CustomWeightedEdge{sourceUserId=2164, targeUserId=2178, type=AA, peso=47.0}
2243-1951 CustomWeightedEdge{sourceUserId=2243, targeUserId=1951, type=AP, peso=100.0}
2220-2220 CustomWeightedEdge{sourceUserId=2220, targeUserId=2220, type=AA, peso=135.0}
1940-2209 CustomWeightedEdge{sourceUserId=1940, targeUserId=2209, type=PA, peso=13.0}
2173-2263 CustomWeightedEdge{sourceUserId=2173, targeUserId=2263, type=AA, peso=44.0}
2196-2209 CustomWeightedEdge{sourceUserId=2196, targeUserId=2209, type=AA, peso=121.0}
2168-2180 CustomWeightedEdge{sourceUserId=2168, targeUserId=2180, type=AA, peso=32.0}
2168-2181 CustomWeightedEdge{sourceUserId=2168, targeUserId=2181, type=AA, peso=78.0}
2168-2183 CustomWeightedEdge{sourceUserId=2168, targeUserId=2183, type=AA, peso=43.0}
1940-2202 CustomWeightedEdge{sourceUserId=1940, targeUserId=2202, type=PA, peso=180.0}
2163-1981 CustomWeightedEdge{sourceUserId=2163, targeUserId=1981, type=AP, peso=1283.0}
2173-2148 CustomWeightedEdge{sourceUserId=2173, targeUserId=2148, type=AA, peso=62.0}
2181-2189 CustomWeightedEdge{sourceUserId=2181, targeUserId=2189, type=AA, peso=42.0}
2130-1981 CustomWeightedEdge{sourceUserId=2130, targeUserId=1981, type=AP, peso=276.0}
2164-2171 CustomWeightedEdge{sourceUserId=2164, targeUserId=2171, type=AA, peso=86.0}
2254-1951 CustomWeightedEdge{sourceUserId=2254, targeUserId=1951, type=AP, peso=1026.0}
2130-1980 CustomWeightedEdge{sourceUserId=2130, targeUserId=1980, type=AP, peso=387.0}
2141-1940 CustomWeightedEdge{sourceUserId=2141, targeUserId=1940, type=AP, peso=60.0}
2140-2133 CustomWeightedEdge{sourceUserId=2140, targeUserId=2133, type=AA, peso=41.0}
2233-2263 CustomWeightedEdge{sourceUserId=2233, targeUserId=2263, type=AA, peso=203.0}
2243-1984 CustomWeightedEdge{sourceUserId=2243, targeUserId=1984, type=AP, peso=56.0}
2140-2134 CustomWeightedEdge{sourceUserId=2140, targeUserId=2134, type=AA, peso=24.0}
2174-1981 CustomWeightedEdge{sourceUserId=2174, targeUserId=1981, type=AP, peso=488.0}
2166-1940 CustomWeightedEdge{sourceUserId=2166, targeUserId=1940, type=AP, peso=166.0}
2179-1981 CustomWeightedEdge{sourceUserId=2179, targeUserId=1981, type=AP, peso=1872.0}
2242-1984 CustomWeightedEdge{sourceUserId=2242, targeUserId=1984, type=AP, peso=136.0}
2169-2178 CustomWeightedEdge{sourceUserId=2169, targeUserId=2178, type=AA, peso=65.0}
2173-2154 CustomWeightedEdge{sourceUserId=2173, targeUserId=2154, type=AA, peso=66.0}
2183-1993 CustomWeightedEdge{sourceUserId=2183, targeUserId=1993, type=AP, peso=69.0}
2169-2171 CustomWeightedEdge{sourceUserId=2169, targeUserId=2171, type=AA, peso=379.0}
2165-1940 CustomWeightedEdge{sourceUserId=2165, targeUserId=1940, type=AP, peso=292.0}
2141-1931 CustomWeightedEdge{sourceUserId=2141, targeUserId=1931, type=AP, peso=608.0}
2189-2151 CustomWeightedEdge{sourceUserId=2189, targeUserId=2151, type=AA, peso=131.0}
2155-2130 CustomWeightedEdge{sourceUserId=2155, targeUserId=2130, type=AA, peso=30.0}
2150-1940 CustomWeightedEdge{sourceUserId=2150, targeUserId=1940, type=AP, peso=295.0}
2194-1940 CustomWeightedEdge{sourceUserId=2194, targeUserId=1940, type=AP, peso=527.0}
2252-1985 CustomWeightedEdge{sourceUserId=2252, targeUserId=1985, type=AP, peso=124.0}
2173-2168 CustomWeightedEdge{sourceUserId=2173, targeUserId=2168, type=AA, peso=113.0}
2263-1940 CustomWeightedEdge{sourceUserId=2263, targeUserId=1940, type=AP, peso=107.0}
2169-2189 CustomWeightedEdge{sourceUserId=2169, targeUserId=2189, type=AA, peso=123.0}
2253-2253 CustomWeightedEdge{sourceUserId=2253, targeUserId=2253, type=AA, peso=24.0}
2253-2252 CustomWeightedEdge{sourceUserId=2253, targeUserId=2252, type=AA, peso=71.0}
2183-1981 CustomWeightedEdge{sourceUserId=2183, targeUserId=1981, type=AP, peso=246.0}
2214-1983 CustomWeightedEdge{sourceUserId=2214, targeUserId=1983, type=AP, peso=32.0}
2220-2202 CustomWeightedEdge{sourceUserId=2220, targeUserId=2202, type=AA, peso=51.0}
2220-2207 CustomWeightedEdge{sourceUserId=2220, targeUserId=2207, type=AA, peso=56.0}
2154-1993 CustomWeightedEdge{sourceUserId=2154, targeUserId=1993, type=AP, peso=78.0}
2169-2180 CustomWeightedEdge{sourceUserId=2169, targeUserId=2180, type=AA, peso=176.0}
2272-2203 CustomWeightedEdge{sourceUserId=2272, targeUserId=2203, type=AA, peso=109.0}
2223-1982 CustomWeightedEdge{sourceUserId=2223, targeUserId=1982, type=AP, peso=5.0}
2223-1983 CustomWeightedEdge{sourceUserId=2223, targeUserId=1983, type=AP, peso=78.0}
2134-2130 CustomWeightedEdge{sourceUserId=2134, targeUserId=2130, type=AA, peso=177.0}
2215-2194 CustomWeightedEdge{sourceUserId=2215, targeUserId=2194, type=AA, peso=33.0}
2134-2134 CustomWeightedEdge{sourceUserId=2134, targeUserId=2134, type=AA, peso=83.0}
2159-2186 CustomWeightedEdge{sourceUserId=2159, targeUserId=2186, type=AA, peso=51.0}
2169-2157 CustomWeightedEdge{sourceUserId=2169, targeUserId=2157, type=AA, peso=95.0}
2134-2258 CustomWeightedEdge{sourceUserId=2134, targeUserId=2258, type=AA, peso=44.0}
2134-2138 CustomWeightedEdge{sourceUserId=2134, targeUserId=2138, type=AA, peso=348.0}
2209-2209 CustomWeightedEdge{sourceUserId=2209, targeUserId=2209, type=AA, peso=92.0}
1982-2197 CustomWeightedEdge{sourceUserId=1982, targeUserId=2197, type=PA, peso=201.0}
2169-2156 CustomWeightedEdge{sourceUserId=2169, targeUserId=2156, type=AA, peso=205.0}
2231-1940 CustomWeightedEdge{sourceUserId=2231, targeUserId=1940, type=AP, peso=64.0}
1982-2194 CustomWeightedEdge{sourceUserId=1982, targeUserId=2194, type=PA, peso=86.0}
2130-1931 CustomWeightedEdge{sourceUserId=2130, targeUserId=1931, type=AP, peso=371.0}
1982-2193 CustomWeightedEdge{sourceUserId=1982, targeUserId=2193, type=PA, peso=28.0}
1982-2196 CustomWeightedEdge{sourceUserId=1982, targeUserId=2196, type=PA, peso=125.0}
2260-2228 CustomWeightedEdge{sourceUserId=2260, targeUserId=2228, type=AA, peso=145.0}
2169-2151 CustomWeightedEdge{sourceUserId=2169, targeUserId=2151, type=AA, peso=142.0}
2260-2227 CustomWeightedEdge{sourceUserId=2260, targeUserId=2227, type=AA, peso=82.0}
2138-1980 CustomWeightedEdge{sourceUserId=2138, targeUserId=1980, type=AP, peso=622.0}
2209-2201 CustomWeightedEdge{sourceUserId=2209, targeUserId=2201, type=AA, peso=37.0}
